well_id,context_completeness,missing_context_fields,donor_id,batch_id,protocol,plate_id,passage,medium,stimulation,batch_protocol_pair,batch_protocol_entanglement_score
W0106,1.0,none,D5,B3,baseline,P6,29,lactate_selection,drug_pulse,B3::baseline,0.5483870967741935
W0107,1.0,none,D6,B3,ramp_pacing,P6,29,lactate_selection,none,B3::ramp_pacing,0.9032258064516129
W0108,1.0,none,D1,B1,baseline,P1,26,fatty_acid,electrical,B1::baseline,1.0
W0109,1.0,none,D2,B1,high_calcium,P1,29,lactate_selection,electrical,B1::high_calcium,0.5483870967741935
W0110,1.0,none,D3,B1,high_calcium,P1,31,standard,drug_pulse,B1::high_calcium,0.5483870967741935
W0111,1.0,none,D4,B1,baseline,P1,19,fatty_acid,electrical,B1::baseline,1.0
W0112,1.0,none,D5,B1,baseline,P1,23,standard,none,B1::baseline,1.0
W0113,1.0,none,D6,B1,ramp_pacing,P1,30,standard,drug_pulse,B1::ramp_pacing,0.3870967741935484
W0114,1.0,none,D1,B1,ramp_pacing,P2,19,standard,electrical,B1::ramp_pacing,0.3870967741935484
W0115,1.0,none,D2,B1,ramp_pacing,P2,31,standard,none,B1::ramp_pacing,0.3870967741935484
W0116,1.0,none,D3,B1,high_calcium,P2,28,lactate_selection,electrical,B1::high_calcium,0.5483870967741935
W0117,1.0,none,D4,B1,baseline,P2,20,lactate_selection,none,B1::baseline,1.0
W0118,1.0,none,D5,B1,baseline,P2,23,fatty_acid,electrical,B1::baseline,1.0
W0119,1.0,none,D6,B1,high_calcium,P2,25,fatty_acid,drug_pulse,B1::high_calcium,0.5483870967741935
W0120,1.0,none,D1,B2,high_calcium,P3,22,standard,electrical,B2::high_calcium,0.9032258064516129
W0121,1.0,none,D2,B2,high_calcium,P3,26,standard,electrical,B2::high_calcium,0.9032258064516129
W0122,1.0,none,D3,B2,baseline,P3,29,fatty_acid,none,B2::baseline,0.4838709677419355
W0123,1.0,none,D4,B2,high_calcium,P3,21,fatty_acid,none,B2::high_calcium,0.9032258064516129
W0124,1.0,none,D5,B2,high_calcium,P3,19,fatty_acid,none,B2::high_calcium,0.9032258064516129
W0125,1.0,none,D6,B2,baseline,P3,31,standard,electrical,B2::baseline,0.4838709677419355
W0126,1.0,none,D1,B2,high_calcium,P4,30,standard,none,B2::high_calcium,0.9032258064516129
W0127,1.0,none,D2,B2,baseline,P4,26,standard,none,B2::baseline,0.4838709677419355
W0128,1.0,none,D3,B2,ramp_pacing,P4,23,fatty_acid,none,B2::ramp_pacing,0.5483870967741935
W0129,1.0,none,D4,B2,high_calcium,P4,30,standard,none,B2::high_calcium,0.9032258064516129
W0130,1.0,none,D5,B2,ramp_pacing,P4,23,standard,none,B2::ramp_pacing,0.5483870967741935
W0131,1.0,none,D6,B2,baseline,P4,24,fatty_acid,none,B2::baseline,0.4838709677419355
W0132,1.0,none,D1,B3,ramp_pacing,P5,28,fatty_acid,electrical,B3::ramp_pacing,0.9032258064516129
W0133,1.0,none,D2,B3,baseline,P5,20,fatty_acid,drug_pulse,B3::baseline,0.5483870967741935
W0134,1.0,none,D3,B3,ramp_pacing,P5,18,standard,none,B3::ramp_pacing,0.9032258064516129
W0135,1.0,none,D4,B3,ramp_pacing,P5,24,fatty_acid,electrical,B3::ramp_pacing,0.9032258064516129
W0136,1.0,none,D5,B3,high_calcium,P5,23,fatty_acid,none,B3::high_calcium,0.4838709677419355
W0137,1.0,none,D6,B3,baseline,P5,29,standard,none,B3::baseline,0.5483870967741935
W0138,1.0,none,D1,B3,high_calcium,P6,31,lactate_selection,none,B3::high_calcium,0.4838709677419355
W0139,1.0,none,D2,B3,high_calcium,P6,18,fatty_acid,none,B3::high_calcium,0.4838709677419355
W0140,1.0,none,D3,B3,high_calcium,P6,18,standard,none,B3::high_calcium,0.4838709677419355
W0141,1.0,none,D4,B3,baseline,P6,29,fatty_acid,electrical,B3::baseline,0.5483870967741935
W0142,1.0,none,D5,B3,ramp_pacing,P6,30,standard,electrical,B3::ramp_pacing,0.9032258064516129
W0143,1.0,none,D6,B3,ramp_pacing,P6,21,fatty_acid,none,B3::ramp_pacing,0.9032258064516129
W0144,1.0,none,D1,B1,ramp_pacing,P1,25,standard,drug_pulse,B1::ramp_pacing,0.3870967741935484
W0145,1.0,none,D2,B1,baseline,P1,26,standard,none,B1::baseline,1.0
W0146,1.0,none,D3,B1,ramp_pacing,P1,21,lactate_selection,electrical,B1::ramp_pacing,0.3870967741935484
W0147,1.0,none,D4,B1,baseline,P1,23,fatty_acid,drug_pulse,B1::baseline,1.0
W0148,1.0,none,D5,B1,high_calcium,P1,22,lactate_selection,electrical,B1::high_calcium,0.5483870967741935
W0149,1.0,none,D6,B1,high_calcium,P1,30,standard,drug_pulse,B1::high_calcium,0.5483870967741935
W0150,1.0,none,D1,B1,baseline,P2,33,fatty_acid,none,B1::baseline,1.0
W0151,1.0,none,D2,B1,baseline,P2,18,fatty_acid,electrical,B1::baseline,1.0
W0152,1.0,none,D3,B1,high_calcium,P2,26,fatty_acid,none,B1::high_calcium,0.5483870967741935
W0153,1.0,none,D4,B1,high_calcium,P2,31,lactate_selection,electrical,B1::high_calcium,0.5483870967741935
W0154,1.0,none,D5,B1,baseline,P2,32,standard,none,B1::baseline,1.0
W0155,1.0,none,D6,B1,high_calcium,P2,21,fatty_acid,none,B1::high_calcium,0.5483870967741935
W0156,1.0,none,D1,B2,high_calcium,P3,21,lactate_selection,none,B2::high_calcium,0.9032258064516129
W0157,1.0,none,D2,B2,high_calcium,P3,33,standard,drug_pulse,B2::high_calcium,0.9032258064516129
W0158,1.0,none,D3,B2,high_calcium,P3,21,standard,none,B2::high_calcium,0.9032258064516129
W0159,1.0,none,D4,B2,baseline,P3,19,lactate_selection,electrical,B2::baseline,0.4838709677419355
W0160,1.0,none,D5,B2,high_calcium,P3,32,standard,none,B2::high_calcium,0.9032258064516129
W0161,1.0,none,D6,B2,baseline,P3,32,lactate_selection,electrical,B2::baseline,0.4838709677419355
W0162,1.0,none,D1,B2,high_calcium,P4,31,standard,electrical,B2::high_calcium,0.9032258064516129
W0163,1.0,none,D2,B2,baseline,P4,28,standard,electrical,B2::baseline,0.4838709677419355
W0164,1.0,none,D3,B2,ramp_pacing,P4,30,lactate_selection,electrical,B2::ramp_pacing,0.5483870967741935
W0165,1.0,none,D4,B2,ramp_pacing,P4,29,standard,none,B2::ramp_pacing,0.5483870967741935
W0166,1.0,none,D5,B2,high_calcium,P4,29,standard,none,B2::high_calcium,0.9032258064516129
W0167,1.0,none,D6,B2,ramp_pacing,P4,26,standard,electrical,B2::ramp_pacing,0.5483870967741935
W0168,1.0,none,D1,B3,ramp_pacing,P5,22,fatty_acid,electrical,B3::ramp_pacing,0.9032258064516129
W0169,1.0,none,D2,B3,baseline,P5,20,standard,electrical,B3::baseline,0.5483870967741935
W0170,1.0,none,D3,B3,high_calcium,P5,18,fatty_acid,electrical,B3::high_calcium,0.4838709677419355
W0171,1.0,none,D4,B3,ramp_pacing,P5,23,standard,none,B3::ramp_pacing,0.9032258064516129
W0172,1.0,none,D5,B3,ramp_pacing,P5,21,standard,electrical,B3::ramp_pacing,0.9032258064516129
W0173,1.0,none,D6,B3,baseline,P5,21,fatty_acid,none,B3::baseline,0.5483870967741935
W0174,1.0,none,D1,B3,baseline,P6,27,standard,electrical,B3::baseline,0.5483870967741935
W0175,1.0,none,D2,B3,baseline,P6,20,fatty_acid,electrical,B3::baseline,0.5483870967741935
W0176,1.0,none,D3,B3,ramp_pacing,P6,26,fatty_acid,drug_pulse,B3::ramp_pacing,0.9032258064516129
W0177,1.0,none,D4,B3,ramp_pacing,P6,27,lactate_selection,drug_pulse,B3::ramp_pacing,0.9032258064516129
W0178,1.0,none,D5,B3,high_calcium,P6,30,standard,drug_pulse,B3::high_calcium,0.4838709677419355
W0179,1.0,none,D6,B3,high_calcium,P6,32,standard,electrical,B3::high_calcium,0.4838709677419355
